call,slice_b,n_valid,top2_frac
792,0,2800,0.992387
793,0,2800,0.992388
794,0,2800,0.992391
795,0,2800,0.992393
796,0,2800,0.992391
797,0,2800,0.992383
798,0,2800,0.992381
799,0,2800,0.992386
800,0,2800,0.992392
801,0,4529,0.991803
802,0,4529,0.991805
803,0,4529,0.991806
804,0,4529,0.991807
805,0,4529,0.991808
806,0,4529,0.991809
807,0,4529,0.991810
808,0,4529,0.991811
809,0,4529,0.991812
810,0,4529,0.991813
811,0,4529,0.991813
812,0,4529,0.991812
813,0,4529,0.991811
814,0,4529,0.991810
815,0,4529,0.991810
816,0,4529,0.991808
817,0,4529,0.991808
818,0,4529,0.991807
819,0,4529,0.991807
820,0,4529,0.991806
821,0,4529,0.991806
822,0,4529,0.991806
823,0,4529,0.991805
824,0,4529,0.991806
825,0,4529,0.991804
826,0,4529,0.991804
827,0,4529,0.991805
828,0,4529,0.991801
829,0,4529,0.991800
830,0,4529,0.991796
831,0,4529,0.991802
832,0,4529,0.991803
833,0,4529,0.991801
834,0,4529,0.991792
835,0,4529,0.991796
836,0,4529,0.991797
837,0,4529,0.991799
838,0,4529,0.991816
839,0,4529,0.991814
840,0,4529,0.991813
841,0,4529,0.991820
842,0,4529,0.991816
843,0,4529,0.991818
844,0,4529,0.991819
845,0,4529,0.991823
846,0,4529,0.991821
847,0,4529,0.991811
848,0,4529,0.991808
849,0,4529,0.991808
850,0,4529,0.991805
851,0,5021,0.992670
852,0,5021,0.992672
853,0,5021,0.992674
854,0,5021,0.992675
855,0,5021,0.992675
856,0,5021,0.992675
857,0,5021,0.992676
858,0,5021,0.992676
859,0,5021,0.992677
860,0,5021,0.992678
861,0,5021,0.992679
862,0,5021,0.992681
863,0,5021,0.992682
864,0,5021,0.992683
865,0,5021,0.992683
866,0,5021,0.992684
867,0,5021,0.992685
868,0,5021,0.992686
869,0,5021,0.992687
870,0,5021,0.992684
871,0,5021,0.992681
872,0,5021,0.992683
873,0,5021,0.992683
874,0,5021,0.992680
875,0,5021,0.992681
876,0,5021,0.992681
877,0,5021,0.992680
878,0,5021,0.992684
879,0,5021,0.992688
880,0,5021,0.992691
881,0,5021,0.992695
882,0,5021,0.992701
883,0,5021,0.992705
884,0,5021,0.992703
885,0,5021,0.992703
886,0,5021,0.992704
887,0,5021,0.992708
888,0,5021,0.992710
889,0,5021,0.992704
890,0,5021,0.992699
891,0,5021,0.992704
892,0,5021,0.992714
893,0,5021,0.992712
894,0,5021,0.992704
895,0,5021,0.992695
896,0,5021,0.992686
897,0,5021,0.992687
898,0,5021,0.992692
899,0,5021,0.992698
900,0,5021,0.992696
901,0,4991,0.991873
902,0,4991,0.991873
903,0,4991,0.991873
904,0,4991,0.991873
905,0,4991,0.991873
906,0,4991,0.991872
907,0,4991,0.991872
908,0,4991,0.991872
909,0,4991,0.991872
910,0,4991,0.991872
911,0,4991,0.991872
912,0,4991,0.991871
913,0,4991,0.991870
914,0,4991,0.991870
915,0,4991,0.991869
916,0,4991,0.991869
917,0,4991,0.991869
918,0,4991,0.991869
919,0,4991,0.991869
920,0,4991,0.991869
921,0,4991,0.991869
922,0,4991,0.991870
923,0,4991,0.991870
924,0,4991,0.991872
925,0,4991,0.991875
926,0,4991,0.991878
927,0,4991,0.991880
928,0,4991,0.991881
929,0,4991,0.991873
930,0,4991,0.991871
931,0,4991,0.991873
932,0,4991,0.991875
933,0,4991,0.991873
934,0,4991,0.991869
935,0,4991,0.991867
936,0,4991,0.991867
937,0,4991,0.991871
938,0,4991,0.991875
939,0,4991,0.991873
940,0,4991,0.991873
941,0,4991,0.991869
942,0,4991,0.991867
943,0,4991,0.991866
944,0,4991,0.991863
945,0,4991,0.991868
946,0,4991,0.991868
947,0,4991,0.991872
948,0,4991,0.991869
949,0,4991,0.991870
950,0,4991,0.991865
951,0,4389,0.992099
952,0,4389,0.992099
953,0,4389,0.992100
954,0,4389,0.992100
955,0,4389,0.992099
956,0,4389,0.992098
957,0,4389,0.992098
958,0,4389,0.992098
959,0,4389,0.992098
960,0,4389,0.992099
961,0,4389,0.992100
962,0,4389,0.992101
963,0,4389,0.992102
964,0,4389,0.992104
965,0,4389,0.992104
966,0,4389,0.992104
967,0,4389,0.992104
968,0,4389,0.992104
969,0,4389,0.992105
970,0,4389,0.992106
971,0,4389,0.992108
972,0,4389,0.992110
973,0,4389,0.992110
974,0,4389,0.992109
975,0,4389,0.992109
976,0,4389,0.992109
977,0,4389,0.992109
978,0,4389,0.992109
979,0,4389,0.992110
980,0,4389,0.992112
981,0,4389,0.992113
982,0,4389,0.992113
983,0,4389,0.992113
984,0,4389,0.992113
985,0,4389,0.992111
986,0,4389,0.992110
987,0,4389,0.992114
988,0,4389,0.992116
989,0,4389,0.992121
990,0,4389,0.992121
991,0,4389,0.992124
992,0,4389,0.992137
993,0,4389,0.992150
994,0,4389,0.992158
995,0,4389,0.992169
996,0,4389,0.992177
997,0,4389,0.992186
998,0,4389,0.992187
999,0,4389,0.992193
1000,0,4389,0.992194
1001,0,3560,0.993003
1002,0,3560,0.993002
1003,0,3560,0.993002
1004,0,3560,0.993001
1005,0,3560,0.993001
1006,0,3560,0.993001
1007,0,3560,0.993001
1008,0,3560,0.993001
1009,0,3560,0.993001
1010,0,3560,0.993000
1011,0,3560,0.993000
1012,0,3560,0.992999
1013,0,3560,0.992999
1014,0,3560,0.992998
1015,0,3560,0.992997
1016,0,3560,0.992997
1017,0,3560,0.992996
1018,0,3560,0.992996
1019,0,3560,0.992996
1020,0,3560,0.992996
1021,0,3560,0.992997
1022,0,3560,0.992997
1023,0,3560,0.992997
1024,0,3560,0.992999
1025,0,3560,0.993002
1026,0,3560,0.993002
1027,0,3560,0.993005
1028,0,3560,0.992999
1029,0,3560,0.992997
1030,0,3560,0.992999
1031,0,3560,0.992996
1032,0,3560,0.992997
1033,0,3560,0.992996
1034,0,3560,0.992994
1035,0,3560,0.992990
1036,0,3560,0.992985
1037,0,3560,0.992981
1038,0,3560,0.992980
1039,0,3560,0.992978
1040,0,3560,0.992982
1041,0,3560,0.992981
1042,0,3560,0.992979
1043,0,3560,0.992974
1044,0,3560,0.992971
1045,0,3560,0.992973
1046,0,3560,0.992972
1047,0,3560,0.992971
1048,0,3560,0.992975
1049,0,3560,0.992978
1050,0,3560,0.992981
1051,0,1706,0.989628
1052,0,1706,0.989637
1053,0,1706,0.989640
1054,0,1706,0.989651
1055,0,1706,0.989661
1056,0,1706,0.989651
1057,0,1706,0.989645
1058,0,1706,0.989648
1059,0,1706,0.989651
1060,0,1706,0.989652
1061,0,1706,0.989651
1062,0,1706,0.989650
1063,0,1706,0.989650
1064,0,1706,0.989654
1065,0,1706,0.989653
1066,0,1706,0.989650
1067,0,1706,0.989647
1068,0,1706,0.989643
1069,0,1706,0.989640
1070,0,1706,0.989642
1071,0,1706,0.989646
1072,0,1706,0.989651
1073,0,1706,0.989659
1074,0,1706,0.989664
1075,0,1706,0.989668
1076,0,1706,0.989673
1077,0,1706,0.989676
1078,0,1706,0.989676
1079,0,1706,0.989678
1080,0,1706,0.989677
1081,0,1706,0.989680
1082,0,1706,0.989686
1083,0,1706,0.989701
1084,0,1706,0.989712
1085,0,1706,0.989722
1086,0,1706,0.989721
1087,0,1706,0.989729
1088,0,1706,0.989728
1089,0,1706,0.989718
1090,0,1706,0.989750
1091,0,1706,0.989746
1092,0,1706,0.989751
1093,0,1706,0.989769
1094,0,1706,0.989785
1095,0,1706,0.989834
1096,0,1706,0.989835
1097,0,1706,0.989853
1098,0,1706,0.989879
1099,0,1706,0.989890
1100,0,1706,0.989905
1101,0,3296,0.992344
1102,0,3296,0.992344
1103,0,3296,0.992344
1104,0,3296,0.992345
1105,0,3296,0.992345
1106,0,3296,0.992345
1107,0,3296,0.992344
1108,0,3296,0.992344
1109,0,3296,0.992344
1110,0,3296,0.992344
1111,0,3296,0.992344
1112,0,3296,0.992344
1113,0,3296,0.992344
1114,0,3296,0.992344
1115,0,3296,0.992344
1116,0,3296,0.992345
1117,0,3296,0.992345
1118,0,3296,0.992345
1119,0,3296,0.992344
1120,0,3296,0.992345
1121,0,3296,0.992345
1122,0,3296,0.992346
1123,0,3296,0.992348
1124,0,3296,0.992348
1125,0,3296,0.992349
1126,0,3296,0.992349
1127,0,3296,0.992349
1128,0,3296,0.992349
1129,0,3296,0.992348
1130,0,3296,0.992346
1131,0,3296,0.992345
1132,0,3296,0.992347
1133,0,3296,0.992347
1134,0,3296,0.992349
1135,0,3296,0.992351
1136,0,3296,0.992354
1137,0,3296,0.992359
1138,0,3296,0.992365
1139,0,3296,0.992364
1140,0,3296,0.992364
1141,0,3296,0.992368
1142,0,3296,0.992376
1143,0,3296,0.992383
1144,0,3296,0.992397
1145,0,3296,0.992403
1146,0,3296,0.992407
1147,0,3296,0.992414
1148,0,3296,0.992420
1149,0,3296,0.992423
1150,0,3296,0.992426
1151,0,5155,0.991802
1152,0,5155,0.991802
1153,0,5155,0.991801
1154,0,5155,0.991800
1155,0,5155,0.991800
1156,0,5155,0.991799
1157,0,5155,0.991799
1158,0,5155,0.991799
1159,0,5155,0.991798
1160,0,5155,0.991798
1161,0,5155,0.991797
1162,0,5155,0.991797
1163,0,5155,0.991797
1164,0,5155,0.991796
1165,0,5155,0.991797
1166,0,5155,0.991797
1167,0,5155,0.991798
1168,0,5155,0.991800
1169,0,5155,0.991801
1170,0,5155,0.991800
1171,0,5155,0.991798
1172,0,5155,0.991796
1173,0,5155,0.991797
1174,0,5155,0.991798
1175,0,5155,0.991800
1176,0,5155,0.991800
1177,0,5155,0.991802
1178,0,5155,0.991803
1179,0,5155,0.991804
1180,0,5155,0.991802
1181,0,5155,0.991801
1182,0,5155,0.991801
1183,0,5155,0.991800
1184,0,5155,0.991799
1185,0,5155,0.991791
1186,0,5155,0.991790
1187,0,5155,0.991790
1188,0,5155,0.991787
1189,0,5155,0.991779
1190,0,5155,0.991777
1191,0,5155,0.991776
1192,0,5155,0.991778
1193,0,5155,0.991776
1194,0,5155,0.991770
1195,0,5155,0.991769
1196,0,5155,0.991770
1197,0,5155,0.991774
1198,0,5155,0.991775
1199,0,5155,0.991776
1200,0,5155,0.991780
1201,0,3733,0.993013
1202,0,3733,0.993014
1203,0,3733,0.993014
1204,0,3733,0.993014
1205,0,3733,0.993015
1206,0,3733,0.993015
1207,0,3733,0.993015
1208,0,3733,0.993016
1209,0,3733,0.993016
1210,0,3733,0.993016
1211,0,3733,0.993016
1212,0,3733,0.993016
1213,0,3733,0.993016
1214,0,3733,0.993016
1215,0,3733,0.993016
1216,0,3733,0.993016
1217,0,3733,0.993016
1218,0,3733,0.993016
1219,0,3733,0.993016
1220,0,3733,0.993016
1221,0,3733,0.993016
1222,0,3733,0.993016
1223,0,3733,0.993017
1224,0,3733,0.993016
1225,0,3733,0.993016
1226,0,3733,0.993015
1227,0,3733,0.993015
1228,0,3733,0.993015
1229,0,3733,0.993014
1230,0,3733,0.993013
1231,0,3733,0.993014
1232,0,3733,0.993016
1233,0,3733,0.993016
1234,0,3733,0.993017
1235,0,3733,0.993019
1236,0,3733,0.993018
1237,0,3733,0.993019
1238,0,3733,0.993020
1239,0,3733,0.993017
1240,0,3733,0.993017
1241,0,3733,0.993011
1242,0,3733,0.993014
1243,0,3733,0.993018
1244,0,3733,0.993015
1245,0,3733,0.993013
1246,0,3733,0.993015
1247,0,3733,0.993017
1248,0,3733,0.993014
1249,0,3733,0.993008
1250,0,3733,0.993005
1251,0,3780,0.993318
1252,0,3780,0.993317
1253,0,3780,0.993317
1254,0,3780,0.993316
1255,0,3780,0.993316
1256,0,3780,0.993316
1257,0,3780,0.993316
1258,0,3780,0.993316
1259,0,3780,0.993317
1260,0,3780,0.993317
1261,0,3780,0.993317
1262,0,3780,0.993318
1263,0,3780,0.993318
1264,0,3780,0.993319
1265,0,3780,0.993320
1266,0,3780,0.993320
1267,0,3780,0.993321
1268,0,3780,0.993322
1269,0,3780,0.993322
1270,0,3780,0.993323
1271,0,3780,0.993324
1272,0,3780,0.993324
1273,0,3780,0.993324
1274,0,3780,0.993324
1275,0,3780,0.993324
1276,0,3780,0.993324
1277,0,3780,0.993326
1278,0,3780,0.993328
1279,0,3780,0.993329
1280,0,3780,0.993331
1281,0,3780,0.993332
1282,0,3780,0.993336
1283,0,3780,0.993340
1284,0,3780,0.993345
1285,0,3780,0.993348
1286,0,3780,0.993347
1287,0,3780,0.993345
1288,0,3780,0.993350
1289,0,3780,0.993354
1290,0,3780,0.993363
1291,0,3780,0.993363
1292,0,3780,0.993367
1293,0,3780,0.993367
1294,0,3780,0.993375
1295,0,3780,0.993381
1296,0,3780,0.993390
1297,0,3780,0.993400
1298,0,3780,0.993407
1299,0,3780,0.993410
1300,0,3780,0.993409
1301,0,2905,0.993173
1302,0,2905,0.993173
1303,0,2905,0.993172
1304,0,2905,0.993172
1305,0,2905,0.993171
1306,0,2905,0.993170
1307,0,2905,0.993170
1308,0,2905,0.993169
1309,0,2905,0.993167
1310,0,2905,0.993166
1311,0,2905,0.993164
1312,0,2905,0.993162
1313,0,2905,0.993160
1314,0,2905,0.993157
1315,0,2905,0.993155
1316,0,2905,0.993153
1317,0,2905,0.993150
1318,0,2905,0.993148
1319,0,2905,0.993145
1320,0,2905,0.993143
1321,0,2905,0.993141
1322,0,2905,0.993139
1323,0,2905,0.993137
1324,0,2905,0.993135
1325,0,2905,0.993137
1326,0,2905,0.993140
1327,0,2905,0.993143
1328,0,2905,0.993145
1329,0,2905,0.993146
1330,0,2905,0.993145
1331,0,2905,0.993145
1332,0,2905,0.993151
1333,0,2905,0.993160
1334,0,2905,0.993174
1335,0,2905,0.993172
1336,0,2905,0.993187
1337,0,2905,0.993212
1338,0,2905,0.993210
1339,0,2905,0.993214
1340,0,2905,0.993221
1341,0,2905,0.993230
1342,0,2905,0.993237
1343,0,2905,0.993234
1344,0,2905,0.993234
1345,0,2905,0.993233
1346,0,2905,0.993234
1347,0,2905,0.993233
1348,0,2905,0.993237
1349,0,2905,0.993246
1350,0,2905,0.993259
1351,0,3192,0.992209
1352,0,3192,0.992209
1353,0,3192,0.992209
1354,0,3192,0.992209
1355,0,3192,0.992208
1356,0,3192,0.992207
1357,0,3192,0.992204
1358,0,3192,0.992203
1359,0,3192,0.992202
1360,0,3192,0.992201
1361,0,3192,0.992199
1362,0,3192,0.992198
1363,0,3192,0.992194
1364,0,3192,0.992192
1365,0,3192,0.992192
1366,0,3192,0.992192
1367,0,3192,0.992190
1368,0,3192,0.992189
1369,0,3192,0.992189
1370,0,3192,0.992193
1371,0,3192,0.992192
1372,0,3192,0.992188
1373,0,3192,0.992186
1374,0,3192,0.992185
1375,0,3192,0.992181
1376,0,3192,0.992178
1377,0,3192,0.992181
1378,0,3192,0.992186
1379,0,3192,0.992184
1380,0,3192,0.992179
1381,0,3192,0.992179
1382,0,3192,0.992179
1383,0,3192,0.992178
1384,0,3192,0.992183
1385,0,3192,0.992187
1386,0,3192,0.992196
1387,0,3192,0.992195
1388,0,3192,0.992190
1389,0,3192,0.992202
1390,0,3192,0.992212
1391,0,3192,0.992193
1392,0,3192,0.992181
1393,0,3192,0.992190
1394,0,3192,0.992183
1395,0,3192,0.992175
1396,0,3192,0.992174
1397,0,3192,0.992186
1398,0,3192,0.992195
1399,0,3192,0.992206
1400,0,3192,0.992219
1401,0,4057,0.993105
1402,0,4057,0.993105
1403,0,4057,0.993106
1404,0,4057,0.993106
1405,0,4057,0.993106
1406,0,4057,0.993106
1407,0,4057,0.993106
1408,0,4057,0.993107
1409,0,4057,0.993107
1410,0,4057,0.993108
1411,0,4057,0.993109
1412,0,4057,0.993110
1413,0,4057,0.993111
1414,0,4057,0.993113
1415,0,4057,0.993114
1416,0,4057,0.993113
1417,0,4057,0.993113
1418,0,4057,0.993113
1419,0,4057,0.993113
1420,0,4057,0.993112
1421,0,4057,0.993109
1422,0,4057,0.993107
1423,0,4057,0.993105
1424,0,4057,0.993105
1425,0,4057,0.993105
1426,0,4057,0.993107
1427,0,4057,0.993109
1428,0,4057,0.993107
1429,0,4057,0.993108
1430,0,4057,0.993108
1431,0,4057,0.993112
1432,0,4057,0.993116
1433,0,4057,0.993124
1434,0,4057,0.993137
1435,0,4057,0.993144
1436,0,4057,0.993142
1437,0,4057,0.993149
1438,0,4057,0.993160
1439,0,4057,0.993163
1440,0,4057,0.993167
1441,0,4057,0.993171
1442,0,4057,0.993173
1443,0,4057,0.993197
1444,0,4057,0.993222
1445,0,4057,0.993239
1446,0,4057,0.993254
1447,0,4057,0.993253
1448,0,4057,0.993266
1449,0,4057,0.993279
1450,0,4057,0.993280
1451,0,1160,0.987866
1452,0,1160,0.987862
1453,0,1160,0.987859
1454,0,1160,0.987860
1455,0,1160,0.987861
1456,0,1160,0.987862
1457,0,1160,0.987863
1458,0,1160,0.987865
1459,0,1160,0.987867
1460,0,1160,0.987869
1461,0,1160,0.987871
1462,0,1160,0.987874
1463,0,1160,0.987877
1464,0,1160,0.987877
1465,0,1160,0.987874
1466,0,1160,0.987867
1467,0,1160,0.987859
1468,0,1160,0.987848
1469,0,1160,0.987843
1470,0,1160,0.987837
1471,0,1160,0.987837
1472,0,1160,0.987838
1473,0,1160,0.987844
1474,0,1160,0.987856
1475,0,1160,0.987866
1476,0,1160,0.987875
1477,0,1160,0.987873
1478,0,1160,0.987880
1479,0,1160,0.987904
1480,0,1160,0.987923
1481,0,1160,0.987938
1482,0,1160,0.987988
1483,0,1160,0.988025
1484,0,1160,0.988052
1485,0,1160,0.988051
1486,0,1160,0.988043
1487,0,1160,0.988070
1488,0,1160,0.988063
1489,0,1160,0.988045
1490,0,1160,0.988007
1491,0,1160,0.987965
1492,0,1160,0.987949
1493,0,1160,0.987955
1494,0,1160,0.987989
1495,0,1160,0.988043
1496,0,1160,0.988058
1497,0,1160,0.988023
1498,0,1160,0.988062
1499,0,1160,0.988099
1500,0,1160,0.988108
1501,0,3316,0.993249
1502,0,3316,0.993249
1503,0,3316,0.993249
1504,0,3316,0.993249
1505,0,3316,0.993248
1506,0,3316,0.993247
1507,0,3316,0.993246
1508,0,3316,0.993246
1509,0,3316,0.993248
1510,0,3316,0.993252
1511,0,3316,0.993253
1512,0,3316,0.993250
1513,0,3316,0.993250
1514,0,3316,0.993247
1515,0,3316,0.993249
1516,0,3316,0.993249
1517,0,3316,0.993246
1518,0,3316,0.993242
1519,0,3316,0.993240
1520,0,3316,0.993243
1521,0,3316,0.993246
1522,0,3316,0.993248
1523,0,3316,0.993250
1524,0,3316,0.993253
1525,0,3316,0.993256
1526,0,3316,0.993258
1527,0,3316,0.993258
1528,0,3316,0.993260
1529,0,3316,0.993256
1530,0,3316,0.993254
1531,0,3316,0.993255
1532,0,3316,0.993255
1533,0,3316,0.993256
1534,0,3316,0.993259
1535,0,3316,0.993262
1536,0,3316,0.993265
1537,0,3316,0.993266
1538,0,3316,0.993271
1539,0,3316,0.993281
1540,0,3316,0.993291
1541,0,3316,0.993293
1542,0,3316,0.993293
1543,0,3316,0.993292
1544,0,3316,0.993291
1545,0,3316,0.993296
1546,0,3316,0.993300
1547,0,3316,0.993303
1548,0,3316,0.993310
1549,0,3316,0.993315
1550,0,3316,0.993316
